"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";0,0862038421455486
"2";"AL";0,0891474818214138
"3";"AM";0,154400863036156
"4";"AP";0,121325181942062
"5";"BA";0,0861293104622981
"6";"CE";0,0719438036236666
"7";"DF";NA
"8";"ES";0,0453803971700227
"9";"GO";0,0681394073176658
"10";"MA";0,11638107147737
"11";"MG";0,06801259020655
"12";"MS";0,0688470289433925
"13";"MT";0,0602885585401525
"14";"PA";0,0830551692418948
"15";"PB";0,0661270991509548
"16";"PE";0,0608206208651004
"17";"PI";0,0976103490819099
"18";"PR";0,0519517528358657
"19";"RJ";0,0533138052579915
"20";"RN";0,0761674503506656
"21";"RO";0,077501483195059
"22";"RR";0,0949254447093055
"23";"RS";0,071730127525729
"24";"SC";0,0394165829894867
"25";"SE";0,0960400143283226
"26";"SP";0,0429924397590826
"27";"TO";0,0710696625559307
