"";"SG_UF_PROVA";"RAZAO"
"1";"AC";0,377816280560018
"2";"AL";0,41471990185582
"3";"AM";0,444873324314458
"4";"AP";0,392222032282231
"5";"BA";0,436509105673226
"6";"CE";0,468692434592003
"7";"DF";0,177187589726803
"8";"ES";0,253987323724461
"9";"GO";0,272867404745537
"10";"MA";0,515348827985999
"11";"MG";0,265133124770085
"12";"MS";0,232783695551493
"13";"MT";0,212637896353815
"14";"PA";0,456252125862028
"15";"PB";0,435409589918731
"16";"PE";0,41117043999771
"17";"PI";0,50402183243121
"18";"PR";0,211106457809903
"19";"RJ";0,243883827122455
"20";"RN";0,365865455061964
"21";"RO";0,28412355757878
"22";"RR";0,279141854714751
"23";"RS";0,233871686143413
"24";"SC";0,188466637323758
"25";"SE";0,407337550289066
"26";"SP";0,205778884982656
"27";"TO";0,285886413711841
