"SG_UF_PROVA";"TOTAL_PES";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";26424;59,775204359673;40,224795640327;1,31320012110203;21,7302452316076;10,9710868907054;62,125340599455;2,65289131092946;1,20723584620042;687,694644353993;475,760216324842;488,9809759859;506,691418814717;489,960972870737;589,491077329808;510,94223269087
"AL";88896;59,6888498920086;40,3111501079914;1,39713822894168;27,3488120950324;11,5427015838733;56,4682325413967;2,3499370050396;0,893178545716343;631,495898237908;475,21256470889;486,433718766208;503,990793849346;505,4732616476;591,907740183665;513,013916939578
"AM";96898;57,201387025532;42,798612974468;1,47268261470825;17,576214163347;5,43045264092138;68,8837746909121;1,2807281884043;5,35614770170695;549,032252919987;470,710968427331;480,320788794062;499,196478475773;482,562205986506;540,973165267065;495,369803512371
"AP";30650;58,3915171288744;41,6084828711256;1,06035889070147;21,6672104404568;13,1549755301794;62,0978792822186;1,21044045676998;0,809135399673736;647,483144840706;472,660165437512;486,840408447436;502,994917614296;479,662761610524;579,262938036667;505,077154937912
"BA";376845;63,2833127678489;36,7166872321512;1,38412344597912;19,9806286404225;26,4535817113137;49,8743515238361;1,50300521434542;0,804309464103279;605,941518841302;476,293055996408;492,203072306216;508,73014383277;499,372481400336;598,721797045378;515,618990479693
"CE";250607;55,9856668010071;44,0143331989928;1,54185637272702;30,590925233533;7,61271632476347;58,7046650732023;1,01234203354256;0,537494962231701;591,771358835997;483,113151964535;499,449614795126;514,073733763093;525,432027337256;618,623344484671;528,478758894661
"DF";74520;59,885936661299;40,114063338701;1,53113258185722;41,682769726248;13,1065485775631;41,8357487922705;1,50563607085346;0,338164251207729;1745,15500513302;517,028822733424;535,873358565378;546,362856627917;551,11170595971;648,466432369109;560,339809059187
"ES";74543;61,2317722656722;38,7682277343278;0,885395006908764;41,6417369840226;14,4051084608883;41,7423500529896;0,877345961391412;0,448063533799284;1192,40406258788;508,510701326627;526,148804070325;535,406769994025;546,226067924818;650,557859095765;553,97551665487
"GO";151158;59,9624234244962;40,0375765755038;1,49049339102132;38,7389354185687;11,2465102740179;45,9247939242382;2,17917675544794;0,420090236705963;1062,2843085373;494,586513940548;509,185996334023;522,360004377286;527,414753381954;647,711500405811;540,98276237248
"MA";178833;61,4427985886274;38,5572014113726;0,994223661181102;20,8183053463287;14,2054318833772;62,1054279691108;1,36440142479296;0,512209715209162;489,571924606501;466,311722227484;476,748856945963;494,936054890563;487,941377813556;588,487363485191;503,42031756081
"MG";393824;61,8969387340538;38,1030612659462;1,10709352401073;44,9662793532136;13,0370419273584;39,4950536280166;1,10506215974649;0,289469407654181;1162,5681545259;508,889537444147;530,459684677007;538,059108914266;551,902647363718;664,780501107892;559,355327567643
"MS";51311;60,1469470483912;39,8530529516088;1,06020151624408;47,3036970630079;7,52860010524059;39,1475512073435;1,90017734988599;3,05977275827795;1207,20729383546;495,718669445994;509,580494769501;523,148592844787;523,793502833152;605,548996458087;532,138175155735
"MT";67782;61,5797704405299;38,4202295594701;1,10058717653654;36,0611961877785;12,3041515446579;48,1838836269216;1,63170163170163;0,718479832403883;1293,4191678;490,12611223458;502,779454397742;517,671165604823;514,565819468701;602,291016376619;526,149930944694
