"";"SG_UF_PROVA";"RAZAO"
"1";"AC";455,496296116278
"2";"AL";470,731311472634
"3";"AM";557,308348565297
"4";"AP";479,25797455255
"5";"BA";490,454881970884
"6";"CE";620,640418406548
"7";"DF";226,760888352515
"8";"ES";332,934699551129
"9";"GO";360,960847401616
"10";"MA";577,868953215239
"11";"MG";336,838118164862
"12";"MS";304,898965911936
"13";"MT";278,570706210706
"14";"PA";554,040197172639
"15";"PB";516,908050817619
"16";"PE";493,038741510535
"17";"PI";567,760582023888
"18";"PR";264,071707480463
"19";"RJ";293,301802772526
"20";"RN";428,383586572861
"21";"RO";369,253463330011
"22";"RR";340,393588602702
"23";"RS";271,917931213669
"24";"SC";243,199208494962
"25";"SE";478,475632686054
"26";"SP";265,75932855338
"27";"TO";372,003364234185
