"SG_UF_PROVA";"POR_FEM";"POR_MAS";"POR_SI";"POR_BR";"POR_PT";"POR_PD";"POR_AM";"POR_IN";"RENDA_MEDIA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";60,88217938631;39,11782061369;2,10955940204563;20,1367033831629;10,8870967741935;63,0163257277734;3,08811959087333;0,76219512195122;0,565787673819739;469,594136552481;499,402012395188;483,435506877229;495,79295288861;601,966842501884;508,834189813136
"AL";62,3762901173477;37,6237098826523;2,2868655450304;27,7463593948819;11,1003110419907;54,9819737028135;3,20762052877138;0,676869786512088;0,573746593458079;476,735047584659;502,485694648994;484,937844267321;516,90982900472;634,411193953631;521,200486391478
"AM";58,0320345741718;41,9679654258282;2,52066207756911;16,0128316514068;5,3866203301477;70,5841074650805;1,71979772327296;3,77598075252289;0,430706188458114;460,387702669551;483,36048028342;469,085289508579;486,304991524668;570,544298596544;491,156154606445
"AP";60,1726830164416;39,8273169835584;1,72683016441628;20,5612198034353;13,3553779737301;62,0464774501699;1,59364379535226;0,716450812896115;0,528501748651928;467,700773887058;496,430440322809;474,146364407979;491,449137864971;601,673105497771;504,408677606404
"BA";64,6134022554979;35,3865977445021;2,38322426500973;19,4354493339444;27,2714636693539;48,0390241703419;2,2663921801393;0,604446381210696;0,551619888206318;479,99430807136;507,035435541203;489,435631113685;513,595852868371;625,944837909694;521,664667163022
"CE";56,372978047044;43,627021952956;2,75625008502746;24,491535799961;6,79040618183632;63,9320324510128;1,58083050286372;0,448944979298648;0,435543002299634;477,146744351167;505,173600661704;490,651435579091;521,55817490759;629,489824719862;521,435591181289
"DF";60,9872446334128;39,0127553665872;2,5451474792966;38,6616494570451;13,519799706671;42,6838120916727;2,27996622272263;0,309625042591962;1,32426620151798;508,765951273533;540,587607634451;523,156977498692;552,393879449749;640,479297203023;551,411780271428
"ES";61,1177762889329;38,8822237110671;1,52693164643742;39,7968246054128;14,3874355338807;42,5297206338324;1,30100808650535;0,45496330689768;0,887252781322247;503,963272175603;530,642327889279;510,605271934896;549,562418811928;647,814227792112;546,517238175426
"GO";61,1532702771793;38,8467297228207;3,88197056567944;35,3182631559727;10,8592922616222;46,1490705912427;3,43643866632582;0,354964759157141;0,774623446206831;487,07663082182;514,978163105493;498,240601041597;527,748079525223;635,588381244735;530,728735559978
"MA";62,5339118877292;37,4660881122708;1,92642977209648;20,8443766858215;13,8188499276807;61,4979867870685;1,55427856612329;0,358078261209491;0,441878710131815;466,029232881857;490,090407954217;473,157744723931;496,248009436398;615,990727581949;506,467987671972
"MG";63,0645855003676;36,9354144996324;2,03002174914361;44,4582388989382;12,9710916361884;38,5243526350628;1,75853875038511;0,257451293204689;0,908952254954703;508,694212144085;539,695119843033;519,607742863188;562,139914243102;664,981779168846;557,28976706065
"MS";62,1534478700871;37,8465521299129;1,78865615438927;46,8204283360791;7,15933160743704;39,6469757590021;2,38879736408567;2,19581077900683;0,905661509088146;488,686478674918;512,861539259772;497,781751572544;529,196483492052;617,90331263683;527,255257587219
"MT";63,0471605598645;36,9528394401355;2,16278862440938;34,100026745119;12,8626192386556;47,936168315949;2,30364625122582;0,632967816706784;0,972673971293087;483,719822737344;510,56057176258;490,412690705511;521,126584472032;615,172318108663;522,078475095887
"PA";62,4627644129951;37,5372355870049;1,83785178892127;18,88126552603;12,7262364365678;64,0747830388541;1,95291916248158;0,526944047145361;0,466290959958189;469,588263012783;496,086839415714;473,441751613866;494,886325886069;621,600865864758;509,463935395054
"PB";59,741965843807;40,258034156193;1,96368698652968;33,328758259642;9,16550655869493;51,9842748181408;2,60485088527676;0,952922491715849;0,527470092787203;479,244415324569;505,294437009098;486,329090344194;518,142616206163;638,781661778532;523,773537527222
"PE";60,9908272043633;39,0091727956367;2,79264110404099;32,35786298653;11,7226882075862;49,5330964383109;2,27047351458557;1,32323774894637;0,555881247816705;481,025012886989;506,743299319728;492,696659775632;524,397125356298;631,704310872836;525,190990852854
"PI";61,8539684127599;38,1460315872401;2,04704322925134;21,2794958046243;14,2592754692443;59,4767972589378;2,55849141542348;0,378896822518726;0,471152000736939;473,771282403494;497,222700344588;480,109716214612;510,982291409855;638,696362965177;518,621534160124
"PR";61,874662120015;38,125337879985;1,7902441052938;67,5773831801611;4,89111600892696;23,3348581250606;2,23659222910689;0,169806351450631;1,10744002347834;504,05761627907;534,307878300601;515,50349815397;549,393746365977;622,101045401139;543,563577932129
"RJ";61,9403642588327;38,0596357411673;2,14141566707364;46,5707560825183;17,4518663964724;32,3066789177124;1,28216423953312;0,24711869669012;1,01791706056279;501,589907241722;536,31248211455;517,992574733096;549,756042038168;651,089493925517;549,676908935977
"RN";59,1672853254145;40,8327146745855;1,70007423904974;40,0940361296709;9,1957436278149;46,6988369215541;1,98094531056669;0,329126453848057;0,66039634852445;490,349406142136;518,436637275768;498,305684636801;529,827946539211;641,219150606087;534,022956340525
"RO";63,7907380872534;36,2092619127466;2,12798390292979;27,7857382396878;10,8380842047499;55,6202554800159;2,60357915917198;1,02435901344471;0,701687572251496;475,583675750479;497,924716531218;480,776246961595;506,35886422907;601,955922865014;510,220566229492
"RR";63,1578947368421;36,8421052631579;2,13505461767627;22,2318768619662;8,09334657398213;61,7303872889772;1,21648460774578;4,59285004965243;0,781721394898685;484,265058509546;507,594824961948;491,574477385025;509,908090349076;605,766526019691;517,212950897073
"RS";63,4505993992717;36,5494006007283;1,74968767443715;78,6063634672125;6,93296297280774;12,1806969511709;0,380106855213843;0,150182079157917;1,09054236087051;503,157256453368;536,934280639432;517,884138930702;550,577240403921;638,244386733237;547,65802266878
"SC";62,9195815018882;37,0804184981118;1,77799789512784;75,4571906147465;4,74834396087414;16,8984089642791;0,865473905776017;0,252584659196434;1,23024280266805;508,955626584371;538,001799247306;515,835461163382;557,487358095448;639,38924017097;550,314075865493
"SE";62,5158004312588;37,4841995687412;2,34589932336977;22,4849431184475;15,6647334374303;56,3313257491263;2,67492006840657;0,49817830321957;0,57381586023988;481,575483078894;505,594956034153;486,647729355463;516,919125143452;647,171979243884;525,676906773569
"SP";61,513587500049;38,486412499951;1,36306411950882;60,2707303011644;9,63655545402134;26,0731360083458;2,38864681912486;0,267867297834707;1,15893176482597;512,443799551916;546,126812837142;529,19349580553;568,239741454652;646,387986430955;559,116927659334
"TO";63,8227577494898;36,1772422505102;1,88514235739967;23,2274155410877;14,7896219998057;55,987432384284;3,37187834029735;0,738509377125644;0,70023098921055;473,286094182825;494,802946462353;478,455519863952;506,968144044321;613,897838899804;511,608283727356
