"";"SG_UF_PROVA";"COEFICIENTE"
"1";"AC";110,304374954651
"2";"AL";108,63370257343
"3";"AM";186,092781384177
"4";"AP";152,981652553864
"5";"BA";110,066589039181
"6";"CE";89,8828230670801
"7";"DF";NA
"8";"ES";59,8732823393471
"9";"GO";88,3796410730743
"10";"MA";149,576891298766
"11";"MG";89,7814758786045
"12";"MS";89,3063645860712
"13";"MT";78,2463162639906
"14";"PA";107,558919084055
"15";"PB";86,8024305407049
"16";"PE";76,6871201859904
"17";"PI";132,150850700074
"18";"PR";69,2236340413674
"19";"RJ";69,9177663520763
"20";"RN";100,853813970773
"21";"RO";98,6274890814937
"22";"RR";121,964199729771
"23";"RS";93,7168556826236
"24";"SC";53,1210354072589
"25";"SE";123,055596799258
"26";"SP";56,5532475776173
"27";"TO";94,8037987882857
