"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
"AC";475,985281769263;490,79211675604;507,446047768768;490,221744529864;622,002673330621;515,110298040507
"AL";475,318886438457;487,534415802832;504,321602478973;505,634837297021;645,98807977891;519,77235314965
"AM";470,772388017969;481,903258575424;499,48693248909;482,688154362416;593,224929199722;502,029405120312
"AP";472,754395933014;488,290889623388;503,462276422764;479,877974973827;626,517068273092;511,256082936159
"BA";476,359437789874;493,218847773933;509,010938207188;499,471084878449;639,08141995203;520,547080207201
"CE";483,202404856163;500,42810336471;514,414251066193;525,545742805262;671,591044776119;534,872105340026
"DF";517,216116301239;537,598012909758;546,914847823342;551,395448304794;672,903684308958;563,265483635493
"ES";508,618113910439;527,304062930972;535,814240672622;546,341447115754;684,087810822132;557,859754930255
"GO";494,672984313535;510,270222254716;522,727057857273;527,563329577246;676,413279494114;543,933336632704
"MA";466,381656655274;477,686324677274;495,266227429111;488,045374602348;637,458741054476;509,540042207784
"MG";509,038746299183;531,211185075187;538,35641158574;552,078286210805;686,019390152954;561,540224483374
"MS";495,878813509545;510,716323610347;523,57986590091;523,94732900649;638,323058666898;535,972123204219
"MT";490,204966788481;503,943046329233;518,003403645388;514,684094147934;644,407438753803;531,189633032395
"PA";469,274538220923;481,577428157659;496,330384150683;484,587095061679;628,81279096124;509,143407378763
"PB";484,317147360797;502,501476060276;515,579771877952;514,193032568641;671,207633152948;534,435117313544
"PE";483,253065038769;500,672335809757;516,848292653201;520,744920172906;660,443333035635;533,012332681125
"PI";472,900049849827;485,727980130454;503,80440060698;505,885974728342;658,15034041256;522,857748454845
"PR";510,729986281714;526,2517138422;539,153890447145;541,279512914315;645,132338842658;550,736598288577
"RJ";505,831664375908;529,189269477165;538,823424572726;543,216751627944;671,583569655281;555,356901450981
"RN";493,065629621804;511,09194880789;523,087844217152;521,282013865962;662,782453285674;539,908398829537
"RO";481,064548116338;491,010093663912;507,143495487563;499,212082764005;641,999921324889;520,94669061687
"RR";490,586445166727;500,461807255731;513,635418286857;503,07131157413;621,658762008999;521,878578436777
"RS";503,179944764901;526,390142304371;539,442606285838;536,619188627925;646,288679944731;547,925681931773
"SC";517,127525846756;536,188066829158;545,339665057546;552,990541115025;674,864725548241;563,308892394218
"SE";481,73701739946;496,634963487497;510,791794494061;508,486820295902;673,451859418895;530,903478485454
"SP";515,730107750355;537,633637291554;547,964621384266;559,912843714311;669,085700253745;564,615850311596
"TO";475,574030506722;485,644100324532;504,540788579198;501,150924290085;640,699660900545;518,318118880841
