"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1100015;"RO";471,336956521739;485,882686567164;500,416964285714;488,337888198758;679,059561128527;522,453047337278
1100023;"RO";486,484752223634;497,195940298507;513,042797619048;506,447395171537;657,707409753008;528,954179988159
1100049;"RO";490,403569372481;502,247241944293;514,975367847411;515,608175014393;650,179294389821;531,463308080808
1100056;"RO";473,907954545455;484,661870503597;503,03381294964;479,201515151515;637,5;513,584109916368
1100064;"RO";492,604807692308;495,189123867069;511,303625377644;505,970192307692;663,885350318471;529,667327327327
1100098;"RO";478,626721763085;486,642010309278;507,525;506,172451790634;633,746478873239;518,679110824742
1100106;"RO";457,711842105263;459,40480349345;480,95989537925;465,083082706767;596,457711442786;487,455446376812
1100114;"RO";480,080558539205;493,172334004024;509,001809045226;498,102470461869;644,339419978518;522,08330494322
1100122;"RO";485,992679045093;496,972900390625;513,744314299658;508,61023872679;651,590324240865;528,675370730128
1100130;"RO";468,041379310345;482,275882352941;497,393235294118;480,051097178683;622,484076433121;507,060386119257
1100148;"RO";479,327941176471;493,046082949309;507,88064516129;510,047549019608;703,269230769231;536,014044342508
1100155;"RO";480,123938879457;486,845187601958;509,611092985318;500,283022071307;651,468531468532;522,814161255411
1100189;"RO";474,663650793651;485,358974358974;503,831626506024;494,214603174603;622,998352553542;513,110157657658
1100205;"RO";484,322694696608;493,514045348209;508,77051581596;501,048958333333;640,826158459901;522,398582284882
1100254;"RO";475,068709677419;487,274382716049;502,552631578947;502,198387096774;641,114754098361;518,697052469136
1100288;"RO";478,368290668869;491,995984251968;506,81643081761;498,030718414533;644,429752066116;522,001522988506
1100304;"RO";488,511940298507;501,720287253142;516,144497607655;508,67373540856;642,396956246037;529,198253214639
1100320;"RO";463,771159874608;466,791265060241;485,679518072289;480,113479623824;637,388535031847;503,19884272997
1100346;"RO";458,262815884477;463,126923076923;486,981118881119;471,019855595668;645,724907063197;502,536107226107
1100403;"RO";450,284297520661;467,692248062015;486,099224806202;471,670247933884;603,454545454545;490,384356060606
1100452;"RO";464,2035;477,136579572447;491,966113744076;477,581;631,822916666667;504,437959022853
1101302;"RO";467,43956043956;477,826148409894;500,45371024735;475,040293040293;660,588235294118;514,657767962309
1101401;"RO";466,414792899408;469,947191011236;490,844943820225;481,581656804734;624,642857142857;503,549618249534
1101492;"RO";454,705373134328;463,40278551532;483,936388888889;476,794626865672;600,89552238806;493,160059687787
1200013;"AC";462,177992277992;467,518309859155;490,184912280702;476,482239382239;583,940520446097;493,810250582751
1200104;"AC";460,322463768116;469,858278145695;491,038283828383;472,306884057971;566,297577854671;490,655059717698
1200203;"AC";465,951469979296;479,092637319829;498,563802488336;474,811552795031;620,27868852459;505,600076079948
1200252;"AC";464,822340425532;477,661463414634;499,757281553398;478,560638297872;578,306878306878;496,757451456311
1200302;"AC";448,325192802057;457,118720379147;481,118632075472;463,339331619537;573,989637305699;481,377768817204
1200328;"AC";450,214285714286;462,246808510638;485,793617021277;470,447619047619;547,441860465116;480,234893617021
1200336;"AC";452,541587301587;449,433236151604;478,415451895044;460,32253968254;589,263803680982;484,676772030651
1200351;"AC";446,873913043478;443,627;466,360396039604;443,349456521739;548,524590163934;467,170599343186
1200385;"AC";449,837735849057;459,93488372093;486,182558139535;462,393710691824;584,444444444444;486,998429672447
1200393;"AC";434,181818181818;431,886111111111;444,438532110092;447,951515151515;545,360824742268;456,855474006116
