"code_muni";"RENDA_MEDIA";"NOTA_MEDIA";"RAZAO_MEDIA";"Nome_Município";"ANO"
1100015;0,054663330300273;520,368971962617;4925,5866864239;"Alta Floresta D'Oeste";2024
1100023;0,0638518993758515;528,080293742018;4337,54197524723;"Ariquemes";2024
1100049;0,0625427497123532;530,701403712297;4470,24483250494;"Cacoal";2024
1100056;0,0526934284180661;511,333688212928;4938,25693307351;"Cerejeiras";2024
1100064;0,0404679040989946;534,119548387097;6993,18520906863;"Colorado do Oeste";2024
1100098;0,0342382970137207;515,495812672176;7721,64026050214;"Espigão D'Oeste";2024
1100106;0,0411211834376972;480,87077212806;5587,16342578409;"Guajará-Mirim";2024
1100114;0,061989485575252;520,190678148547;4340,58575662657;"Jaru";2024
1100122;0,0674763104389257;529,967334754797;4132,52196127689;"Ji-Paraná";2024
1100130;0,0528165528165528;504,42144654088;4795,87237396333;"Machadinho D'Oeste";2024
1100148;0,0459332054969639;536,901280788177;6221,67074333767;"Nova Brasilândia D'Oeste";2024
1100155;0,0636534626540972;519,899829351536;4222,54843875701;"Ouro Preto do Oeste";2024
1100189;0,0598760527570316;507,721815286624;4285,5499564722;"Pimenta Bueno";2024
1100205;0,060393946987248;519,962357355913;4451,47851344569;"Porto Velho";2024
1100254;0,063902289310786;516,419225806452;4151,63883278391;"Presidente Médici";2024
1100288;0,0602627860780035;520,108434134217;4463,59107569374;"Rolim de Moura";2024
1100304;0,0732822010466742;528,39776324395;3783,69862372651;"Vilhena";2024
1100320;0,0576437282229965;503,27;4374,28333962977;"São Miguel do Guaporé";2024
1100346;0,0458987783595113;499,083321299639;5402,39479485525;"Alvorada D'Oeste";2024
1100403;0,0454448621553885;482,002542372881;5080,49824385935;"Alto Paraíso";2024
1100452;0,0588089085763504;501,398145363409;4255,78626473704;"Buritis";2024
1101302;0,0412833940497875;512,99282051282;6343,29677925714;"Mirante da Serra";2024
1101401;0,0541194968553459;502,365714285714;4642,42516809164;"Monte Negro";2024
1101492;0,0463770065464981;490,386626506024;5159,16494666668;"São Francisco do Guaporé";2024
1200013;0,0320778192512159;493,263938223938;7548,64089505585;"Acrelândia";2024
1200104;0,0327862757595071;488,875514705882;7251,67800240135;"Brasiléia";2024
1200203;0,0381175710281055;504,793355509356;6655,02414417521;"Cruzeiro do Sul";2024
1200252;0,0328657865786579;495,608191489362;7438,98798540016;"Epitaciolândia";2024
1200302;0,0240913968811443;477,855578947368;9411,47497863972;"Feijó";2024
1200328;0,0156165311653117;479,607142857143;14631,1072823055;"Jordão";2024
1200336;0,028017562349872;482,289419354839;8250,8755211495;"Mâncio Lima";2024
1200351;0,0318452380952381;465,087103825137;6718,96699862111;"Marechal Thaumaturgo";2024
1200385;0,0399068322981366;485,074430379747;5862,51568733685;"Plácido de Castro";2024
1200393;0,0133691886229957;452,423838383838;15057,2965989563;"Porto Walter";2024
1200401;0,0534689265072732;526,153450170519;5143,7997382107;"Rio Branco";2024
1200435;0,0660377358490566;465,715714285714;3249,59224489796;"Santa Rosa do Purus";2024
1200450;0,0374860559157777;505,120287769784;6775,86055840237;"Senador Guiomard";2024
1200500;0,0346346383741781;494,398010291595;7024,12445203907;"Sena Madureira";2024
1200609;0,0243978741179189;477,64927943761;9284,7958122399;"Tarauacá";2024
1200708;0,0484010270774977;507,155636363636;5289,88023236951;"Xapuri";2024
1200807;0,031930627404165;495,607217391304;7656,82472494774;"Porto Acre";2024
1300029;0,0090313477032227;452,029271523179;22245,7686410952;"Alvarães";2024
1300086;0,019313605784194;465,528296296296;11101,412066294;"Anamã";2024
1300102;0,0230809679131234;483,809457364341;10081,4427817838;"Anori";2024
1300144;0,03855;481,398767123288;5973,50887479345;"Apuí";2024
1300201;0,0191066814322628;447,298974358974;10267,558762335;"Atalaia do Norte";2024
1300300;0,0306850728435889;458,400317460317;6755,08637430611;"Autazes";2024
